# 데이터를 변경하려면:						
# 우선 Google Spreadsheet상에서 이 파일을 수정한 후에						
# File > Download as > Tab-separated values (.tsv) 를 선택합니다.						
# 다운로드한 파일 이름을 library_book_data.tsv 으로 변경합니다.						
# 테스트할 기기의 Documents/Books에 tsv 파일과 thumbnail을 복사해 넣습니다.						
# Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다						
#id	category	categoryname	title	author	thumbnail	foldername
en_111	cate_2	New Readers	I Can…	Written by: Mike Jaffe Illustrated by: Josh McGill 	book_en_111_thumbnail.png	en_111
en_101	cate_2	New Readers	Animals	Written by: Mike Jaffe Illustrated by: Katie Kleinbaum 	book_en_101_thumbnail.png	en_101
en_112	cate_2	New Readers	I Feel…	Written by: Mike Jaffe Illustrated by: Tory DeOrian 	book_en_112_thumbnail.png	en_112
en_102	cate_2	New Readers	Yummy Foods	Written by: Pam Vachatimanont Illustrated by: Nigel Sussman 	book_en_102_thumbnail.png	en_102
en_103	cate_2	New Readers	Big and Small	Written by: Pam Vachatimanont Illustrated by: Chris Rooney 	book_en_103_thumbnail.png	en_103
en_105	cate_2	New Readers	Baby	Written by: Mike Jaffe Illustrated by: Tory DeOrian 	book_en_105_thumbnail.png	en_105
en_104	cate_2	New Readers	I See Shapes	Written by: Mike Jaffe Illustrated by: Nigel Sussman 	book_en_104_thumbnail.png	en_104
en_109	cate_2	New Readers	Our Sky	Written by: Pam Vachatimanont Illustrated by: JC Hernandez 	book_en_109_thumbnail.png	en_109
en_106	cate_2	New Readers	I Love Colors	Original title: Rangi za upinde Written by: Caren Echesa, Jesse Breytenbach Adapted by: Mike Jaffe Illustrated by: Jesse Breytenbach 	book_en_106_thumbnail.png	en_106
en_107	cate_2	New Readers	How Many People?	Written by: Mike Jaffe Illustrated by: Jose Galeano 	book_en_107_thumbnail.png	en_107
en_224	cate_2	New Readers	Watch Me Go!	Written by: Zack Kushner Illustrated by: JC Hernandez 	book_en_224_thumbnail.png	en_224
en_108	cate_2	New Readers	Three Clothes	Written by: Simone Yingst Illustrated by: Tory DeOrian 	book_en_108_thumbnail.png	en_108
en_208	cate_2	New Readers	Hello, Animals	Written by: Simone Yingst Illustrated by: Katie Kleinbaum 	book_en_208_thumbnail.png	en_208
en_219	cate_2	New Readers	Cat and Mouse	Original title: Cube Cat, Cone Cat Written by: Praba Ram, Sheela Preuitt Source: StoryWeaver by Pratham Books Adapted by: Mia Malhotra Illustrated by: Rajiv Eipe 	book_en_219_thumbnail.png	en_219
en_216	cate_2	New Readers	Ten Trees	Original title: Every Tree Counts Written by: Praba Ram, Sheela Preuitt Source: StoryWeaver by Pratham Books Adapted by: Mia Malhotra Illustrated by: Sangeetha Kadur 	book_en_216_thumbnail.png	en_216
en_202	cate_2	New Readers	This is My Face	Written by: Zack Kushner Illustrated by: Heleen Steyn 	book_en_202_thumbnail.png	en_202
en_206	cate_2	New Readers	A Family	Written by: Zack Kushner Illustrated by: Lisa Steyn 	book_en_206_thumbnail.png	en_206
en_201	cate_2	New Readers	Let’s Go!	Written by: Zack Kushner Illustrated by: JC Hernandez 	book_en_201_thumbnail.png	en_201
en_222	cate_2	New Readers	Who Wants to Play?	Original title: Hide and Seek Written by: Kanchan Bannerjee Source: StoryWeaver by Pratham Books Adapted by: Mary Malhotra Illustrated by: Harshvardhan Gantha 	book_en_222_thumbnail.png	en_222
en_210	cate_2	New Readers	Ready to Learn	Written by: Zack Kushner Illustrated by: Heleen Steyn 	book_en_210_thumbnail.png	en_210
en_223	cate_3	Early Readers	Small Animals, Large Animals	Written by: Zack Kushner Illustrated by: Chris Rooney 	book_en_223_thumbnail.png	en_223
en_221	cate_3	Early Readers	I Am Me	Original title: What Makes You Special Written by: Nalini Sorensen Source: StoryWeaver by Pratham Books Adapted by: Mary Malhotra Illustrated by: Greystroke 	book_en_221_thumbnail.png	en_221
en_226	cate_3	Early Readers	My Body	Written by: Mike Jaffe Photo by Enuma, Inc.	book_en_226_thumbnail.png	en_226
en_227	cate_3	Early Readers	What Do I Like?	Written by: Pam Vachatimanont Illustrated by: JC Hernandez 	book_en_227_thumbnail.png	en_227
en_209	cate_3	Early Readers	Who Has Teeth?	Written by: Pam Vachatimanont Illustrated by: Katie Kleinbaum 	book_en_209_thumbnail.png	en_209
en_204	cate_3	Early Readers	Oh, Rats. 	Written by: Pam Vachatimanont Illustrated by: Josh McGill 	book_en_204_thumbnail.png	en_204
en_230	cate_3	Early Readers	We Say It Every Day!	Written by: Mike Jaffe Illustrated by: Nesia Anindita 	book_en_230_thumbnail.png	en_230
en_229	cate_3	Early Readers	How is the Weather?	Written by: Minnie Mills Photo by Enuma, Inc.	book_en_229_thumbnail.png	en_229
en_228	cate_3	Early Readers	I See the World	Written by: Mike Jaffe Photo by Enuma, Inc.	book_en_228_thumbnail.png	en_228
en_203	cate_3	Early Readers	Animal Sounds	Written by: Mike Jaffe Illustrated by: Katie Kleinbaum 	book_en_203_thumbnail.png	en_203
en_220	cate_3	Early Readers	Sleepyhead	Original title: Bheema, the sleepyhead Written by: Rajesh Khar Source: StoryWeaver by Pratham Books Adapted by: Mary Malhotra Illustrated by: Shweta Mohapatra 	book_en_220_thumbnail.png	en_220
en_212	cate_3	Early Readers	Five Mangoes	Written by: Zack Kushner Illustrated by: JC Hernandez 	book_en_212_thumbnail.png	en_212
en_231	cate_3	Early Readers	Priya's Day	Written by: Lucy Geay Illustrated by: Nesia Anindita 	book_en_231_thumbnail.png	en_231
en_207	cate_3	Early Readers	Tree	Written by: Mike Jaffe Illustrated by: Nigel Sussman 	book_en_207_thumbnail.png	en_207
en_211	cate_3	Early Readers	Crocodile	Written by: Zack Kushner Illustrated by: Daniel Galeano 	book_en_211_thumbnail.png	en_211
en_213	cate_3	Early Readers	I Can Help	Written by: Mary Malhotra Illustrated by: Josh McGill 	book_en_213_thumbnail.png	en_213
en_218	cate_3	Early Readers	We Can Make Friends	Original title: Paper Play Written by: Mala Kumar  Source: StoryWeaver by Pratham Books Adapted by: Mia Malhotra Illustrated by: Ruchi Shah 	book_en_218_thumbnail.png	en_218
en_225	cate_3	Early Readers	Can I?	Written by: Mary Malhotra Illustrated by: JC Hernandez 	book_en_225_thumbnail.png	en_225
en_232	cate_3	Early Readers	Akash's Bicycle	Written by: Lucy Geay Illustrated by: JC Hernandez 	book_en_232_thumbnail.png	en_232
